"A̱o","Mes","time","fhd_ng","fhdg","temp","lluvia"
2010,"enero","2010/01",16,15,16.6,80.4
2010,"febrero","2010/02",13,12,17.9,59.5
2010,"marzo","2010/03",25,5,20.1,19.7
2010,"abril","2010/04",7,2,23.7,89
2010,"mayo","2010/05",23,5,26.1,23.7
2010,"junio","2010/06",57,16,26.3,131.9
2010,"julio","2010/07",48,20,24.9,432.2
2010,"agosto","2010/08",192,41,25,395.6
2010,"septiembre","2010/09",142,36,24.5,397.2
2010,"octubre","2010/10",239,75,22.7,87
2010,"noviembre","2010/11",72,50,21.3,47.5
2010,"diciembre","2010/12",24,20,18.4,27.4
2011,"enero","2011/01",9,7,19.5,76.4
2011,"febrero","2011/02",11,11,20.1,18.5
2011,"marzo","2011/03",11,2,23,21.8
2011,"abril","2011/04",16,3,26.7,14.6
2011,"mayo","2011/05",19,8,27.5,35
2011,"junio","2011/06",17,7,25.5,206.7
2011,"julio","2011/07",39,13,24.9,374.2
2011,"agosto","2011/08",117,68,25.2,247
2011,"septiembre","2011/09",265,150,24.5,264.4
2011,"octubre","2011/10",239,75,22.4,149
2011,"noviembre","2011/11",148,118,20.9,102.6
2011,"diciembre","2011/12",55,52,19,43.5
2012,"enero","2012/01",30,21,18.8,87.4
2012,"febrero","2012/02",26,28,20.1,47.3
2012,"marzo","2012/03",56,42,22.6,25.9
2012,"abril","2012/04",71,44,24.2,59.8
2012,"mayo","2012/05",150,100,25.6,91.8
2012,"junio","2012/06",270,175,25.3,228
2012,"julio","2012/07",270,175,24.5,205.6
2012,"agosto","2012/08",758,423,24.8,406.8
2012,"septiembre","2012/09",1162,852,24.4,258.1
2012,"octubre","2012/10",2405,1269,23.2,164.7
2012,"noviembre","2012/11",638,616,20.5,89.2
2012,"diciembre","2012/12",358,419,20.9,31.3
2013,"enero","2013/01",48,70,19.3,28.7
2013,"febrero","2013/02",80,59,22.2,29.3
2013,"marzo","2013/03",66,53,21.4,30.8
2013,"abril","2013/04",68,43,24.7,19.1
2013,"mayo","2013/05",128,112,25.7,120.3
2013,"junio","2013/06",169,129,26.3,254.6
2013,"julio","2013/07",412,349,25.7,158.7
2013,"agosto","2013/08",610,515,25.7,265.2
2013,"septiembre","2013/09",1281,813,25.1,408.6
2013,"octubre","2013/10",1169,754,24.4,225.6
2013,"noviembre","2013/11",687,600,21.1,234.7
2013,"diciembre","2013/12",258,361,19.7,77
2014,"enero","2014/01",36,32,17.8,33.4
2014,"febrero","2014/02",36,30,20.7,10.7
2014,"marzo","2014/03",31,15,22.5,35.5
2014,"abril","2014/04",35,12,24.7,25.4
2014,"mayo","2014/05",44,12,24.6,126.5
2014,"junio","2014/06",87,33,25.8,255.7
2014,"julio","2014/07",175,132,25.2,155.6
2014,"agosto","2014/08",287,315,25.6,148.6
2014,"septiembre","2014/09",451,396,24.4,355.5
2014,"octubre","2014/10",473,479,23.9,270.1
2014,"noviembre","2014/11",294,285,20.1,67.2
2014,"diciembre","2014/12",111,124,19.8,53.2
2015,"enero","2015/01",37,30,17.1,79.6
2015,"febrero","2015/02",29,16,18.7,20.9
2015,"marzo","2015/03",32,14,20.4,98.8
2015,"abril","2015/04",34,13,25.2,50.4
2015,"mayo","2015/05",83,43,25.7,70.4
2015,"junio","2015/06",162,44,24.8,152
2015,"julio","2015/07",286,101,25.3,148.9
2015,"agosto","2015/08",842,194,25.6,156.6
2015,"septiembre","2015/09",385,84,25.3,201.3
2015,"octubre","2015/10",305,104,24.1,259.3
2015,"noviembre","2015/11",505,148,22.2,192.3
2015,"diciembre","2015/12",175,82,21.7,58.4
2016,"enero","2016/01",48,19,18.3,29.6
2016,"febrero","2016/02",78,44,19.1,22.5
2016,"marzo","2016/03",70,16,23.2,39
2016,"abril","2016/04",32,10,25.4,30.3
2016,"mayo","2016/05",55,8,27.1,35.5
2016,"junio","2016/06",76,13,25.8,206.2
2016,"julio","2016/07",145,32,25.8,214.8
2016,"agosto","2016/08",462,44,25.6,267.3
2016,"septiembre","2016/09",444,70,25,255.9
2016,"octubre","2016/10",311,77,23.7,223.3
2016,"noviembre","2016/11",119,38,21.8,113.3
2016,"diciembre","2016/12",29,16,21.4,96.1
2017,"enero","2017/01",8,9,20.7,36.9
2017,"febrero","2017/02",25,7,22,32.6
2017,"marzo","2017/03",33,19,22.4,65.4
2017,"abril","2017/04",20,8,24.6,35.3
2017,"mayo","2017/05",29,8,26.1,110
2017,"junio","2017/06",69,19,25.8,181.7
2017,"julio","2017/07",102,31,24.5,245.1
2017,"agosto","2017/08",167,43,25.5,199.7
2017,"septiembre","2017/09",210,53,24.4,429
2017,"octubre","2017/10",201,68,22.8,314.9
2017,"noviembre","2017/11",132,48,21.3,43.3
2017,"diciembre","2017/12",35,16,19,37.1
2018,"enero","2018/01",4,1,16.9,112.7
2018,"febrero","2018/02",2,1,21.3,37.2
2018,"marzo","2018/03",2,1,22.8,57.4
2018,"abril","2018/04",9,3,23,90.1
2018,"mayo","2018/05",20,4,25.1,35.1
2018,"junio","2018/06",79,15,25.7,154
2018,"julio","2018/07",72,15,25.3,120.6
2018,"agosto","2018/08",282,43,24.5,218
2018,"septiembre","2018/09",488,73,25,197.6
2018,"octubre","2018/10",591,128,23.4,332.5
2018,"noviembre","2018/11",479,130,21.1,93.8
2018,"diciembre","2018/12",211,52,19,67.1
2019,"enero","2019/01",59,28,19.9,50.6
2019,"febrero","2019/02",81,29,21.9,15.5
2019,"marzo","2019/03",56,25,22,30.3
2019,"abril","2019/04",67,9,23.8,8
2019,"mayo","2019/05",83,38,27.2,31.6
2019,"junio","2019/06",272,38,26.2,167.3
2019,"julio","2019/07",815,123,25.2,121.7
2019,"agosto","2019/08",1379,136,25.8,90.8
2019,"septiembre","2019/09",2556,317,24.9,168
2019,"octubre","2019/10",1626,456,25.6,271.9
2019,"noviembre","2019/11",1055,252,20.6,124.1
2019,"diciembre","2019/12",1145,260,19.5,32.7
