"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Michoacán","Media superior",9541,626,"2010-2011"
"Michoacán","Superior",7972,215,"2010-2011"
"Morelos","Preescolar",3036,1167,"2010-2011"
"Morelos","Primaria",7768,1116,"2010-2011"
"Morelos","Secundaria",6072,468,"2010-2011"
"Morelos","Media superior",5379,314,"2010-2011"
"Morelos","Superior",5762,138,"2010-2011"
"Nayarit","Preescolar",2180,1108,"2010-2011"
"Nayarit","Primaria",5526,1183,"2010-2011"
"Nayarit","Secundaria",5344,550,"2010-2011"
"Nayarit","Media superior",2795,272,"2010-2011"
"Nayarit","Superior",2888,61,"2010-2011"
"Nuevo León","Preescolar",9555,2909,"2010-2011"
"Nuevo León","Primaria",21961,2786,"2010-2011"
"Nuevo León","Secundaria",15631,962,"2010-2011"
"Nuevo León","Media superior",9970,485,"2010-2011"
"Nuevo León","Superior",13307,263,"2010-2011"
"Oaxaca","Preescolar",9987,4534,"2010-2011"
"Oaxaca","Primaria",26698,5584,"2010-2011"
"Oaxaca","Secundaria",13318,2209,"2010-2011"
"Oaxaca","Media superior",7323,633,"2010-2011"
"Oaxaca","Superior",5854,136,"2010-2011"
"Puebla","Preescolar",12227,4917,"2010-2011"
"Puebla","Primaria",27964,4525,"2010-2011"
"Puebla","Secundaria",18726,2133,"2010-2011"
"Puebla","Media superior",15667,1441,"2010-2011"
"Puebla","Superior",16920,534,"2010-2011"
"Querétaro","Preescolar",3830,1531,"2010-2011"
"Querétaro","Primaria",8181,1490,"2010-2011"
"Querétaro","Secundaria",4923,492,"2010-2011"
"Querétaro","Media superior",4438,219,"2010-2011"
"Querétaro","Superior",6499,116,"2010-2011"
"Quintana Roo","Preescolar",2043,689,"2010-2011"
"Quintana Roo","Primaria",5733,834,"2010-2011"
"Quintana Roo","Secundaria",5342,378,"2010-2011"
"Quintana Roo","Media superior",3106,137,"2010-2011"
"Quintana Roo","Superior",3513,58,"2010-2011"
"San Luis Potosí","Preescolar",6607,3181,"2010-2011"
"San Luis Potosí","Primaria",14589,3423,"2010-2011"
"San Luis Potosí","Secundaria",10942,1631,"2010-2011"
"San Luis Potosí","Media superior",6275,433,"2010-2011"
"San Luis Potosí","Superior",5768,109,"2010-2011"
"Sinaloa","Preescolar",5416,2462,"2010-2011"
"Sinaloa","Primaria",13312,2866,"2010-2011"
"Sinaloa","Secundaria",12033,891,"2010-2011"
"Sinaloa","Media superior",8005,350,"2010-2011"
"Sinaloa","Superior",7389,150,"2010-2011"
"Sonora","Preescolar",4418,1614,"2010-2011"
"Sonora","Primaria",12816,1845,"2010-2011"
"Sonora","Secundaria",8440,683,"2010-2011"
"Sonora","Media superior",6466,316,"2010-2011"
"Sonora","Superior",7888,181,"2010-2011"
"Tabasco","Preescolar",4683,2056,"2010-2011"
"Tabasco","Primaria",10202,2130,"2010-2011"
"Tabasco","Secundaria",7299,741,"2010-2011"
"Tabasco","Media superior",5409,278,"2010-2011"
"Tabasco","Superior",5501,89,"2010-2011"
"Tamaulipas","Preescolar",6039,2370,"2010-2011"
"Tamaulipas","Primaria",15026,2513,"2010-2011"
"Tamaulipas","Secundaria",11136,736,"2010-2011"
"Tamaulipas","Media superior",7393,356,"2010-2011"
"Tamaulipas","Superior",9927,232,"2010-2011"
"Tlaxcala","Preescolar",2259,857,"2010-2011"
"Tlaxcala","Primaria",6021,793,"2010-2011"
"Tlaxcala","Secundaria",4463,354,"2010-2011"
"Tlaxcala","Media superior",3198,188,"2010-2011"
"Tlaxcala","Superior",2649,70,"2010-2011"
"Veracruz","Preescolar",16958,8117,"2010-2011"
"Veracruz","Primaria",46216,9789,"2010-2011"
"Veracruz","Secundaria",24000,3097,"2010-2011"
"Veracruz","Media superior",18891,1665,"2010-2011"
"Veracruz","Superior",13233,450,"2010-2011"
"Yucatán","Preescolar",3819,1267,"2010-2011"
"Yucatán","Primaria",9244,1387,"2010-2011"
"Yucatán","Secundaria",8676,595,"2010-2011"
"Yucatán","Media superior",5070,247,"2010-2011"
"Yucatán","Superior",6469,161,"2010-2011"
"Zacatecas","Preescolar",3597,1745,"2010-2011"
"Zacatecas","Primaria",8788,2031,"2010-2011"
"Zacatecas","Secundaria",5778,1150,"2010-2011"
"Zacatecas","Media superior",3068,186,"2010-2011"
"Zacatecas","Superior",4195,104,"2010-2011"
"Aguascalientes","Preescolar",2124,640,"2015-2016"
"Aguascalientes","Primaria",5010,708,"2015-2016"
"Aguascalientes","Secundaria",5216,355,"2015-2016"
"Aguascalientes","Media superior",5588,302,"2015-2016"
"Aguascalientes","Superior",5668,55,"2015-2016"
"Baja California","Preescolar",4956,1427,"2015-2016"
"Baja California","Primaria",14633,1650,"2015-2016"
"Baja California","Secundaria",13915,670,"2015-2016"
"Baja California","Media superior",10656,400,"2015-2016"
"Baja California","Superior",12813,143,"2015-2016"
"Baja California Sur","Preescolar",1191,421,"2015-2016"
"Baja California Sur","Primaria",3219,446,"2015-2016"
"Baja California Sur","Secundaria",2674,189,"2015-2016"
"Baja California Sur","Media superior",2937,133,"2015-2016"
"Baja California Sur","Superior",2346,35,"2015-2016"
"Campeche","Preescolar",1805,695,"2015-2016"
"Campeche","Primaria",4397,778,"2015-2016"
"Campeche","Secundaria",3327,333,"2015-2016"
"Campeche","Media superior",2935,137,"2015-2016"
"Campeche","Superior",2643,70,"2015-2016"
"Coahuila","Preescolar",4707,1729,"2015-2016"
"Coahuila","Primaria",12086,1840,"2015-2016"
"Coahuila","Secundaria",12017,625,"2015-2016"
"Coahuila","Media superior",12009,678,"2015-2016"
"Coahuila","Superior",10748,155,"2015-2016"
"Colima","Preescolar",1223,422,"2015-2016"
"Colima","Primaria",3235,497,"2015-2016"
"Colima","Secundaria",3220,178,"2015-2016"
"Colima","Media superior",3249,180,"2015-2016"
"Colima","Superior",2791,53,"2015-2016"
"Chiapas","Preescolar",13126,7237,"2015-2016"
"Chiapas","Primaria",31423,8505,"2015-2016"
"Chiapas","Secundaria",15232,2252,"2015-2016"
"Chiapas","Media superior",12828,1038,"2015-2016"
"Chiapas","Superior",9297,214,"2015-2016"
"Chihuahua","Preescolar",5557,2259,"2015-2016"
"Chihuahua","Primaria",16908,2834,"2015-2016"
"Chihuahua","Secundaria",10599,966,"2015-2016"
"Chihuahua","Media superior",11410,648,"2015-2016"
"Chihuahua","Superior",12358,155,"2015-2016"
"Ciudad de México","Preescolar",13808,3627,"2015-2016"
"Ciudad de México","Primaria",32592,3201,"2015-2016"
"Ciudad de México","Secundaria",33226,1352,"2015-2016"
"Ciudad de México","Media superior",48488,663,"2015-2016"
"Ciudad de México","Superior",69768,460,"2015-2016"
"Durango","Preescolar",3665,1751,"2015-2016"
"Durango","Primaria",10252,2573,"2015-2016"
"Durango","Secundaria",7403,956,"2015-2016"
"Durango","Media superior",6327,344,"2015-2016"
"Durango","Superior",6141,88,"2015-2016"
"Guanajuato","Preescolar",10884,4354,"2015-2016"
"Guanajuato","Primaria",25987,4479,"2015-2016"
"Guanajuato","Secundaria",18676,1813,"2015-2016"
"Guanajuato","Media superior",19742,1197,"2015-2016"
"Guanajuato","Superior",15146,247,"2015-2016"
"Guerrero","Preescolar",10111,3945,"2015-2016"
"Guerrero","Primaria",23290,4618,"2015-2016"
"Guerrero","Secundaria",13135,1915,"2015-2016"
"Guerrero","Media superior",9704,732,"2015-2016"
"Guerrero","Superior",4763,135,"2015-2016"
"Hidalgo","Preescolar",6125,3292,"2015-2016"
"Hidalgo","Primaria",16275,3254,"2015-2016"
"Hidalgo","Secundaria",9899,1287,"2015-2016"
"Hidalgo","Media superior",12182,573,"2015-2016"
"Hidalgo","Superior",8977,132,"2015-2016"
"Jalisco","Preescolar",14518,5365,"2015-2016"
"Jalisco","Primaria",34340,5859,"2015-2016"
"Jalisco","Secundaria",26917,2121,"2015-2016"
"Jalisco","Media superior",28948,1135,"2015-2016"
"Jalisco","Superior",27026,285,"2015-2016"
"México","Preescolar",25260,8041,"2015-2016"
"México","Primaria",69682,7813,"2015-2016"
"México","Secundaria",44810,3796,"2015-2016"
"México","Media superior",54957,2154,"2015-2016"
"México","Superior",40948,433,"2015-2016"
"Michoacán","Preescolar",10972,4218,"2015-2016"
"Michoacán","Primaria",29099,5222,"2015-2016"
"Michoacán","Secundaria",14942,1736,"2015-2016"
"Michoacán","Media superior",14233,772,"2015-2016"
"Michoacán","Superior",10281,241,"2015-2016"
"Morelos","Preescolar",3307,1231,"2015-2016"
"Morelos","Primaria",8003,1184,"2015-2016"
"Morelos","Secundaria",6638,498,"2015-2016"
"Morelos","Media superior",8100,357,"2015-2016"
"Morelos","Superior",8132,118,"2015-2016"
"Nayarit","Preescolar",2283,1115,"2015-2016"
"Nayarit","Primaria",5739,1197,"2015-2016"
"Nayarit","Secundaria",5536,582,"2015-2016"
"Nayarit","Media superior",4817,333,"2015-2016"
"Nayarit","Superior",2882,48,"2015-2016"
"Nuevo León","Preescolar",9785,2795,"2015-2016"
"Nuevo León","Primaria",22437,2740,"2015-2016"
"Nuevo León","Secundaria",16794,1081,"2015-2016"
"Nuevo León","Media superior",14715,558,"2015-2016"
"Nuevo León","Superior",17579,237,"2015-2016"
"Oaxaca","Preescolar",11360,4747,"2015-2016"
"Oaxaca","Primaria",27795,5626,"2015-2016"
"Oaxaca","Secundaria",14936,2486,"2015-2016"
"Oaxaca","Media superior",10466,728,"2015-2016"
"Oaxaca","Superior",7462,123,"2015-2016"
"Puebla","Preescolar",12786,4918,"2015-2016"
"Puebla","Primaria",28657,4624,"2015-2016"
"Puebla","Secundaria",19546,2239,"2015-2016"
"Puebla","Media superior",17686,1778,"2015-2016"
"Puebla","Superior",17873,486,"2015-2016"
"Querétaro","Preescolar",4033,1537,"2015-2016"
"Querétaro","Primaria",8390,1511,"2015-2016"
"Querétaro","Secundaria",5716,530,"2015-2016"
"Querétaro","Media superior",6483,286,"2015-2016"
"Querétaro","Superior",8672,91,"2015-2016"
"Quintana Roo","Preescolar",2240,750,"2015-2016"
"Quintana Roo","Primaria",5801,860,"2015-2016"
"Quintana Roo","Secundaria",5277,428,"2015-2016"
"Quintana Roo","Media superior",5897,244,"2015-2016"
"Quintana Roo","Superior",4201,52,"2015-2016"
"San Luis Potosí","Preescolar",6632,3072,"2015-2016"
"San Luis Potosí","Primaria",14573,3299,"2015-2016"
"San Luis Potosí","Secundaria",11437,1694,"2015-2016"
"San Luis Potosí","Media superior",8076,494,"2015-2016"
"San Luis Potosí","Superior",6859,100,"2015-2016"
"Sinaloa","Preescolar",5529,2354,"2015-2016"
"Sinaloa","Primaria",12724,2601,"2015-2016"
"Sinaloa","Secundaria",13037,946,"2015-2016"
"Sinaloa","Media superior",10769,572,"2015-2016"
"Sinaloa","Superior",10054,129,"2015-2016"
"Sonora","Preescolar",4643,1624,"2015-2016"
"Sonora","Primaria",12572,1885,"2015-2016"
"Sonora","Secundaria",9442,748,"2015-2016"
"Sonora","Media superior",9938,367,"2015-2016"
"Sonora","Superior",9971,152,"2015-2016"
"Tabasco","Preescolar",5019,2077,"2015-2016"
"Tabasco","Primaria",10353,2105,"2015-2016"
"Tabasco","Secundaria",7517,764,"2015-2016"
"Tabasco","Media superior",8009,354,"2015-2016"
"Tabasco","Superior",7913,74,"2015-2016"
"Tamaulipas","Preescolar",6165,2377,"2015-2016"
"Tamaulipas","Primaria",14577,2422,"2015-2016"
"Tamaulipas","Secundaria",11645,782,"2015-2016"
"Tamaulipas","Media superior",12931,468,"2015-2016"
"Tamaulipas","Superior",11400,186,"2015-2016"
"Tlaxcala","Preescolar",2415,858,"2015-2016"
"Tlaxcala","Primaria",6160,795,"2015-2016"
"Tlaxcala","Secundaria",5043,375,"2015-2016"
"Tlaxcala","Media superior",4843,210,"2015-2016"
"Tlaxcala","Superior",3253,60,"2015-2016"
"Veracruz","Preescolar",16933,7570,"2015-2016"
"Veracruz","Primaria",46372,9606,"2015-2016"
"Veracruz","Secundaria",25835,3397,"2015-2016"
"Veracruz","Media superior",31614,1814,"2015-2016"
"Veracruz","Superior",16570,380,"2015-2016"
"Yucatán","Preescolar",3895,1232,"2015-2016"
"Yucatán","Primaria",9282,1397,"2015-2016"
"Yucatán","Secundaria",8947,640,"2015-2016"
"Yucatán","Media superior",6813,445,"2015-2016"
"Yucatán","Superior",7173,134,"2015-2016"
"Zacatecas","Preescolar",3724,1729,"2015-2016"
"Zacatecas","Primaria",8347,1875,"2015-2016"
"Zacatecas","Secundaria",6023,1151,"2015-2016"
"Zacatecas","Media superior",4651,289,"2015-2016"
"Zacatecas","Superior",4511,72,"2015-2016"
"Aguascalientes","Preescolar",2182,665,"2020-2021"
"Aguascalientes","Primaria",5048,713,"2020-2021"
"Aguascalientes","Secundaria",5358,372,"2020-2021"
"Aguascalientes","Media superior",5843,306,"2020-2021"
"Aguascalientes","Superior",5710,64,"2020-2021"
"Baja California","Preescolar",4896,1451,"2020-2021"
"Baja California","Primaria",14362,1617,"2020-2021"
"Baja California","Secundaria",12396,666,"2020-2021"
"Baja California","Media superior",14181,428,"2020-2021"
"Baja California","Superior",13845,172,"2020-2021"
"Baja California Sur","Preescolar",1274,424,"2020-2021"
"Baja California Sur","Primaria",3427,444,"2020-2021"
"Baja California Sur","Secundaria",2737,194,"2020-2021"
"Baja California Sur","Media superior",3117,158,"2020-2021"
"Baja California Sur","Superior",2378,42,"2020-2021"
"Campeche","Preescolar",1844,704,"2020-2021"
"Campeche","Primaria",4293,753,"2020-2021"
"Campeche","Secundaria",3002,353,"2020-2021"
"Campeche","Media superior",3017,149,"2020-2021"
"Campeche","Superior",2625,73,"2020-2021"
"Coahuila","Preescolar",5114,1819,"2020-2021"
"Coahuila","Primaria",12202,1829,"2020-2021"
"Coahuila","Secundaria",11081,646,"2020-2021"
"Coahuila","Media superior",10924,702,"2020-2021"
"Coahuila","Superior",10809,182,"2020-2021"
"Colima","Preescolar",1249,410,"2020-2021"
"Colima","Primaria",3223,479,"2020-2021"
"Colima","Secundaria",3006,177,"2020-2021"
"Colima","Media superior",2892,184,"2020-2021"
"Colima","Superior",2455,50,"2020-2021"
"Chiapas","Preescolar",13167,7156,"2020-2021"
"Chiapas","Primaria",31392,8328,"2020-2021"
"Chiapas","Secundaria",15776,2560,"2020-2021"
"Chiapas","Media superior",13854,1052,"2020-2021"
"Chiapas","Superior",8682,224,"2020-2021"
"Chihuahua","Preescolar",5448,2142,"2020-2021"
"Chihuahua","Primaria",16441,2664,"2020-2021"
"Chihuahua","Secundaria",10297,962,"2020-2021"
"Chihuahua","Media superior",11420,610,"2020-2021"
"Chihuahua","Superior",11212,169,"2020-2021"
"Ciudad de México","Preescolar",12757,3150,"2020-2021"
"Ciudad de México","Primaria",31528,3002,"2020-2021"
"Ciudad de México","Secundaria",30746,1321,"2020-2021"
"Ciudad de México","Media superior",35191,567,"2020-2021"
"Ciudad de México","Superior",78123,500,"2020-2021"
"Durango","Preescolar",3819,1749,"2020-2021"
"Durango","Primaria",10288,2457,"2020-2021"
"Durango","Secundaria",7297,974,"2020-2021"
"Durango","Media superior",6546,352,"2020-2021"
"Durango","Superior",5880,101,"2020-2021"
"Guanajuato","Preescolar",10620,4197,"2020-2021"
"Guanajuato","Primaria",25776,4358,"2020-2021"
"Guanajuato","Secundaria",18096,1861,"2020-2021"
"Guanajuato","Media superior",19458,1265,"2020-2021"
"Guanajuato","Superior",15576,266,"2020-2021"
"Guerrero","Preescolar",10051,3862,"2020-2021"
"Guerrero","Primaria",21879,4446,"2020-2021"
"Guerrero","Secundaria",13012,1942,"2020-2021"
"Guerrero","Media superior",9750,840,"2020-2021"
"Guerrero","Superior",5220,180,"2020-2021"
"Hidalgo","Preescolar",6035,3098,"2020-2021"
"Hidalgo","Primaria",16529,3181,"2020-2021"
"Hidalgo","Secundaria",10403,1347,"2020-2021"
"Hidalgo","Media superior",11348,552,"2020-2021"
"Hidalgo","Superior",8844,141,"2020-2021"
"Jalisco","Preescolar",14338,5188,"2020-2021"
"Jalisco","Primaria",33922,5647,"2020-2021"
"Jalisco","Secundaria",27292,2164,"2020-2021"
"Jalisco","Media superior",28444,1158,"2020-2021"
"Jalisco","Superior",26251,308,"2020-2021"
"México","Preescolar",24602,7724,"2020-2021"
"México","Primaria",69474,7832,"2020-2021"
"México","Secundaria",46184,3939,"2020-2021"
"México","Media superior",59464,2259,"2020-2021"
"México","Superior",45751,554,"2020-2021"
"Michoacán","Preescolar",11369,4270,"2020-2021"
"Michoacán","Primaria",27958,5001,"2020-2021"
"Michoacán","Secundaria",15183,1861,"2020-2021"
"Michoacán","Media superior",14097,794,"2020-2021"
"Michoacán","Superior",11412,277,"2020-2021"
"Morelos","Preescolar",3074,1245,"2020-2021"
"Morelos","Primaria",8293,1224,"2020-2021"
"Morelos","Secundaria",6974,545,"2020-2021"
"Morelos","Media superior",7553,337,"2020-2021"
"Morelos","Superior",8738,160,"2020-2021"
"Nayarit","Preescolar",2342,1138,"2020-2021"
"Nayarit","Primaria",5791,1203,"2020-2021"
"Nayarit","Secundaria",5229,620,"2020-2021"
"Nayarit","Media superior",4829,317,"2020-2021"
"Nayarit","Superior",2828,50,"2020-2021"
"Nuevo León","Preescolar",9601,2748,"2020-2021"
"Nuevo León","Primaria",22200,2725,"2020-2021"
"Nuevo León","Secundaria",16870,1174,"2020-2021"
"Nuevo León","Media superior",13168,597,"2020-2021"
"Nuevo León","Superior",18034,247,"2020-2021"
"Oaxaca","Preescolar",10617,4710,"2020-2021"
"Oaxaca","Primaria",27026,5545,"2020-2021"
"Oaxaca","Secundaria",14899,2649,"2020-2021"
"Oaxaca","Media superior",10790,801,"2020-2021"
"Oaxaca","Superior",7038,148,"2020-2021"
"Puebla","Preescolar",12850,4898,"2020-2021"
"Puebla","Primaria",29072,4640,"2020-2021"
"Puebla","Secundaria",19742,2448,"2020-2021"
"Puebla","Media superior",17221,1816,"2020-2021"
"Puebla","Superior",19055,348,"2020-2021"
"Querétaro","Preescolar",4059,1584,"2020-2021"
"Querétaro","Primaria",9010,1528,"2020-2021"
"Querétaro","Secundaria",6223,564,"2020-2021"
"Querétaro","Media superior",6374,308,"2020-2021"
"Querétaro","Superior",9319,113,"2020-2021"
"Quintana Roo","Preescolar",2465,797,"2020-2021"
"Quintana Roo","Primaria",6755,891,"2020-2021"
"Quintana Roo","Secundaria",6231,472,"2020-2021"
"Quintana Roo","Media superior",5886,278,"2020-2021"
"Quintana Roo","Superior",4585,63,"2020-2021"
"San Luis Potosí","Preescolar",6608,3005,"2020-2021"
"San Luis Potosí","Primaria",14379,3142,"2020-2021"
"San Luis Potosí","Secundaria",11086,1672,"2020-2021"
"San Luis Potosí","Media superior",7949,505,"2020-2021"
"San Luis Potosí","Superior",6579,109,"2020-2021"
"Sinaloa","Preescolar",5777,2277,"2020-2021"
"Sinaloa","Primaria",12528,2481,"2020-2021"
"Sinaloa","Secundaria",13258,1009,"2020-2021"
"Sinaloa","Media superior",11511,561,"2020-2021"
"Sinaloa","Superior",10352,142,"2020-2021"
"Sonora","Preescolar",4469,1586,"2020-2021"
"Sonora","Primaria",11979,1798,"2020-2021"
"Sonora","Secundaria",8756,748,"2020-2021"
"Sonora","Media superior",10323,368,"2020-2021"
"Sonora","Superior",10529,163,"2020-2021"
"Tabasco","Preescolar",4882,2064,"2020-2021"
"Tabasco","Primaria",10420,2089,"2020-2021"
"Tabasco","Secundaria",7152,813,"2020-2021"
"Tabasco","Media superior",7455,371,"2020-2021"
"Tabasco","Superior",7166,87,"2020-2021"
"Tamaulipas","Preescolar",5906,2239,"2020-2021"
"Tamaulipas","Primaria",14412,2355,"2020-2021"
"Tamaulipas","Secundaria",11174,784,"2020-2021"
"Tamaulipas","Media superior",12799,505,"2020-2021"
"Tamaulipas","Superior",10731,201,"2020-2021"
"Tlaxcala","Preescolar",2316,819,"2020-2021"
"Tlaxcala","Primaria",6060,780,"2020-2021"
"Tlaxcala","Secundaria",5048,388,"2020-2021"
"Tlaxcala","Media superior",5120,203,"2020-2021"
"Tlaxcala","Superior",3652,61,"2020-2021"
"Veracruz","Preescolar",16515,7573,"2020-2021"
"Veracruz","Primaria",45177,9356,"2020-2021"
"Veracruz","Secundaria",25468,3531,"2020-2021"
"Veracruz","Media superior",25673,1845,"2020-2021"
"Veracruz","Superior",15670,383,"2020-2021"
"Yucatán","Preescolar",4048,1223,"2020-2021"
"Yucatán","Primaria",9498,1390,"2020-2021"
"Yucatán","Secundaria",8751,657,"2020-2021"
"Yucatán","Media superior",6751,452,"2020-2021"
"Yucatán","Superior",8272,136,"2020-2021"
"Zacatecas","Preescolar",3792,1769,"2020-2021"
"Zacatecas","Primaria",8515,1801,"2020-2021"
"Zacatecas","Secundaria",5685,1165,"2020-2021"
"Zacatecas","Media superior",5319,303,"2020-2021"
"Zacatecas","Superior",4046,80,"2020-2021"
